Circuit Name,No of Lines,No of Gates,Fault Model,Total Faults,GA Approach,Detected Faults,Fault Coverage,Test Set Size,Best Vector Set,Execution Time,Actual Generations,Time Limit Exceeded,Minimization Skipped,date,time
cycle10_2_110,12,19,GAF,20,Random,20,100,2,"[3642, 1367]",0.1053,1,FALSE,FALSE,02-04-2026,16:00:59
cycle10_2_110,12,19,MMGF,37,Random,37,100,2,"[4095, 4093]",1.5534,11,FALSE,FALSE,02-04-2026,16:00:41
cycle10_2_110,12,19,PMGF,3049,Random,2974,97.54017711,12,"[3069, 4092, 1791, 2045, 4063, 4089, 4031, 4029, 3805, 2047, 2803, 3839]",4.5807,20,FALSE,FALSE,02-04-2026,16:00:58
cycle10_2_110,12,19,RGF,19,Random,19,100,2,"[4093, 4095]",1.4581,5,FALSE,FALSE,02-04-2026,16:01:08
cycle10_2_110,12,19,SAF,238,Random,238,100,3,"[3997, 96, 3727]",0.014,1,FALSE,FALSE,02-04-2026,16:00:40
cycle10_2_110,12,19,SMGF,19,Random,19,100,2,"[4093, 3071]",5.5381,13,FALSE,FALSE,02-04-2026,16:00:47
cycle10_2_110,12,19,MBF,1710,Random,1710,100,1,[1386],0.0457,1,FALSE,FALSE,03-04-2026,23:47:38
cycle10_2_110,12,19,MBF,1710,Directed,1710,100,2,"[680, 2474]",0.1362,1,FALSE,FALSE,03-04-2026,23:58:23
cycle10_293,39,78,BF,5928,Directed,5852,98.71794872,5,"[321084865866, 354672862428, 275482752220, 355446586698, 311454760266]",32.6159,20,FALSE,FALSE,02-04-2026,16:19:20
cycle10_293,39,78,CAF,2866,Directed,2862,99.86043266,20,"[777806, 34146615, 73014510923, 73174208727, 68870854493, 67415742, 68870626609, 6576884686, 34145591, 1082723627, 73014599113, 68854472383, 67415633, 68854417714, 4454948139, 34178382, 159981247, 139839166, 139838775, 269158711]",21.8993,20,FALSE,FALSE,02-04-2026,16:48:22
cycle10_293,39,78,GAF,79,Directed,79,100,4,"[458671, 57295, 853756, 565199]",0.1711,1,FALSE,FALSE,02-04-2026,16:47:22
cycle10_293,39,78,MMGF,155,Directed,155,100,4,"[949758, 1040125, 274878004734, 97790]",0.2276,1,FALSE,FALSE,02-04-2026,16:16:30
cycle10_293,39,78,PMGF,129,Directed,129,100,8,"[8590821296, 4295692323, 36721260, 4295741205, 101388331, 141734563564, 67378451, 4295512684]",1.5684,7,FALSE,FALSE,02-04-2026,16:16:37
cycle10_293,39,78,RGF,78,Directed,78,100,3,"[38657580255, 36541816761, 107375222683]",2.8812,15,FALSE,FALSE,02-04-2026,16:17:36
cycle10_293,39,78,SAF,352,Directed,348,98.86363636,7,"[223482149704, 159082386814, 138519907251, 156834330184, 139654462271, 23092661055, 159187361150]",7.1864,20,FALSE,FALSE,02-04-2026,16:47:20
cycle10_293,39,78,SMGF,78,Directed,78,100,4,"[68720197566, 73014841295, 68720406061, 68988632847]",0.8087,4,FALSE,FALSE,02-04-2026,16:16:31
cycle10_293,39,78,SAF,352,Random,347,98.57954545,8,"[230458807187, 228305163276, 403643246, 228174419310, 228314815382, 211662218643, 230457809774, 228328100755]",4.2491,20,FALSE,FALSE,03-04-2026,23:38:39
cycle10_293,39,78,MMGF,155,Random,155,100,4,"[34359767037, 338143, 1032189, 65517]",0.1411,1,FALSE,FALSE,03-04-2026,23:38:39
cycle10_293,39,78,SMGF,78,Random,78,100,4,"[68719935359, 103366721431, 69006983167, 68719673213]",0.924,8,FALSE,FALSE,03-04-2026,23:38:40
cycle10_293,39,78,PMGF,129,Random,129,100,9,"[213763, 16862368, 507668, 17196667707, 1074279049, 215694, 725219, 17196667523, 1073763131]",0.522,3,FALSE,FALSE,03-04-2026,23:38:40
cycle10_293,39,78,GAF,79,Random,79,100,4,"[15741, 422630, 280497, 924393]",0.1204,1,FALSE,FALSE,03-04-2026,23:38:40
cycle10_293,39,78,CAF,2866,Random,2858,99.72086532,18,"[339071, 68753149607, 4313381838, 337747, 68716213, 73032821946, 73032027841, 68754035742, 68753980347, 867341, 68720394561, 73032858562, 135109813, 69827721983, 73014531922, 380671, 73032821954, 69827722178]",12.1837,20,FALSE,FALSE,03-04-2026,23:39:15
cycle10_293,39,78,RGF,78,Random,78,100,4,"[708095, 569191, 67694227, 13547]",0.1116,1,FALSE,FALSE,03-04-2026,23:39:15
cycle10_293,39,78,BF,5928,Random,5816,98.11066127,6,"[159125974701, 21718936375, 52144561071, 159124009695, 21718673581, 51741503287]",18.1847,20,FALSE,FALSE,03-04-2026,23:40:14
cycle17_3_112,20,48,BF,1824,Directed,1824,100,3,"[874178, 500307, 285915]",0.6722,1,FALSE,FALSE,02-04-2026,16:38:11
cycle17_3_112,20,48,CAF,503,Directed,377,74.95029821,10,"[393727, 655871, 131583, 789758, 396542, 790013, 396541, 831995, 393726, 937470]",3.871,20,FALSE,FALSE,02-04-2026,17:09:20
cycle17_3_112,20,48,GAF,49,Directed,49,100,3,"[651892, 585115, 1014472]",0.0105,1,FALSE,FALSE,02-04-2026,16:37:58
cycle17_3_112,20,48,MMGF,95,Directed,95,100,3,"[1048575, 1048569, 1048571]",2.5238,19,FALSE,FALSE,02-04-2026,16:22:36
cycle17_3_112,20,48,PMGF,458698,Directed,378428,82.50046872,24,"[458493, 507869, 1040313, 491003, 458711, 491437, 933847, 442297, 442293, 481276, 415740, 1040297, 458165, 933626, 483285, 1048317, 245498, 490933, 1040301, 817111, 1038293, 1032188, 425388, 1005564]",308.1879,5,TRUE,FALSE,02-04-2026,16:37:58
cycle17_3_112,20,48,RGF,48,Directed,48,100,3,"[1048573, 1048571, 1048569]",1.8404,12,FALSE,FALSE,02-04-2026,16:38:10
cycle17_3_112,20,48,SAF,914,Directed,914,100,4,"[1011987, 641771, 466276, 676263]",0.2119,1,FALSE,FALSE,02-04-2026,16:22:26
cycle17_3_112,20,48,SMGF,48,Directed,48,100,3,"[1048575, 262143, 393215]",1.7556,14,FALSE,FALSE,02-04-2026,16:22:40
cycle17_3_112,20,48,SAF,914,Random,914,100,3,"[1036640, 156379, 900646]",0.1393,1,FALSE,FALSE,03-04-2026,23:20:48
cycle17_3_112,20,48,MMGF,95,Random,95,100,3,"[1048573, 1048571, 524285]",0.9289,14,FALSE,FALSE,03-04-2026,23:20:50
cycle17_3_112,20,48,SMGF,48,Random,47,97.91666667,4,"[1015807, 720891, 1015803, 786431]",1.4039,20,FALSE,FALSE,03-04-2026,23:20:55
cycle17_3_112,20,48,PMGF,458698,Random,435328,94.90514456,32,"[524284, 524277, 524279, 425973, 522236, 409597, 409596, 933879, 524285, 933877, 946167, 524125, 913399, 524222, 522239, 684023, 520183, 524151, 409591, 651255, 409598, 409437, 685943, 423773, 980988, 913407, 687870, 783321, 520925, 933820, 933886, 650973]",306.5393,9,TRUE,FALSE,03-04-2026,23:36:13
cycle17_3_112,20,48,GAF,49,Random,49,100,3,"[921045, 505813, 931624]",0.0112,1,FALSE,FALSE,03-04-2026,23:36:13
cycle17_3_112,20,48,CAF,503,Random,433,86.08349901,8,"[921597, 264190, 397309, 528380, 919549, 395261, 702395, 459391]",1.7834,20,FALSE,FALSE,03-04-2026,23:36:19
cycle17_3_112,20,48,RGF,48,Random,48,100,3,"[1048575, 1048569, 1048571]",0.8301,13,FALSE,FALSE,03-04-2026,23:36:19
cycle17_3_112,20,48,BF,1824,Random,1824,100,3,"[317016, 955194, 340245]",0.3494,1,FALSE,FALSE,03-04-2026,23:36:20
cycle17_3_112,20,48,MBF,14688,Random,14688,100,3,"[828069, 535105, 631122]",3.0992,1,FALSE,FALSE,03-04-2026,23:50:53
cycle17_3_112,20,48,MBF,14688,Directed,14688,100,3,"[208293, 105773, 730256]",3.2493,1,FALSE,FALSE,03-04-2026,23:58:50
graycode6_47,6,5,BF,50,Directed,50,100,3,"[41, 44, 34]",0.0016,1,FALSE,FALSE,02-04-2026,16:06:30
graycode6_47,6,5,CAF,20,Directed,20,100,5,"[49, 27, 56, 39, 12]",0.1135,1,FALSE,FALSE,02-04-2026,16:06:30
graycode6_47,6,5,GAF,6,Directed,6,100,2,"[48, 14]",0.0008,1,FALSE,FALSE,02-04-2026,16:06:16
